IID	value
id_38_3	0.5367991771429
id_48_3	-2.18367354395786
id_58_3	2.61624071882274
id_68_3	-0.10423200227803
id_78_3	-0.222015037934413
id_17_3	0.824481249594681
id_18_3	-1.89599147150608
id_29_3	-1.49052636339792
id_39_3	-0.10423200227803
id_49_3	0.183450070173751
id_59_3	1.22994635770285
id_69_3	0.301233105830134
id_79_3	-1.6083093990543
id_19_3	-1.49052636339792
id_20_3	-0.10423200227803
id_30_3	1.68752746695002
id_40_3	0.994380286390079
id_50_3	-0.10423200227803
id_60_3	-1.6083093990543
id_70_3	0.0135510333783533
id_80_3	2.49845768316635
id_1_4	0.5367991771429
id_2_4	0.5367991771429
id_21_4	3.54495397069545
id_31_4	1.34772939335923
id_41_4	2.27644264523194
id_51_4	0.772365248455666
id_61_4	2.8518067901355
id_71_4	3.95041907880361
id_3_4	3.0217058269309
id_4_4	1.9752095394018
id_22_4	0.706698213938298
id_32_4	3.59706997183446
id_42_4	-0.797379182837975
id_52_4	3.59706997183446
id_62_4	3.1916048637263
id_72_4	0.706698213938298
id_5_4	-0.561813111525209
id_6_4	-1.7782084358497
id_23_4	-1.20284429094614
id_33_4	1.39984539449824
id_43_4	-1.89599147150608
id_53_4	-6.9179207722211
id_63_4	-6.63023869976932
id_73_4	-6.86580477108208
id_7_4	-0.274131039073428
id_8_4	2.21077561071457
id_24_4	0.5367991771429
id_34_4	-0.561813111525209
id_44_4	0.942264285251064
id_54_4	2.09299257505819
id_64_4	2.90392279127452
id_74_4	5.10114736861073
id_9_4	-2.92893672565682
id_10_4	-5.24394433864943
id_25_4	-1.66042540019332
id_35_4	4.40800018805079
id_45_4	0.824481249594681
id_55_4	-8.70968024144915
id_65_4	-8.42199816899737
id_75_4	-6.46033966297392
id_11_4	-3.80553397639052
id_12_4	-1.55619339791529
id_26_4	-1.4384103622589
id_36_4	-1.15072828980712
id_46_4	-2.82470472337879
id_56_4	-1.03294525415074
id_66_4	-2.24934057847523
id_76_4	1.45196139563726
id_13_4	1.45196139563726
id_14_4	3.88475204428624
id_27_4	1.16427932318548
id_37_4	2.66835671996175
id_47_4	2.95603879241353
id_57_4	0.0656670345173682
id_67_4	1.39984539449824
id_77_4	-0.391914074729811
id_15_4	-3.73986694187315
id_16_4	-0.391914074729811
id_28_4	-0.274131039073428
id_38_4	0.5367991771429
id_48_4	-1.89599147150608
id_58_4	-3.16450279696959
id_68_4	0.183450070173751
id_78_4	1.68752746695002
id_17_4	-3.40006886828236
id_18_4	-1.49052636339792
id_29_4	0.0656670345173682
id_39_4	-2.47135561640965
id_49_4	0.0135510333783533
id_59_4	-2.58913865206603
id_69_4	-2.18367354395786
id_79_4	1.22994635770285
id_19_4	-0.391914074729811
id_20_4	-3.73986694187315
id_30_4	-3.11238679583058
id_40_4	1.51762843015463
id_50_4	-0.509697110386194
id_60_4	-5.76719248241397
id_70_4	-4.49868115695047
id_80_4	-4.66858019374586
id_1_5	2.78613975561813
id_2_5	2.32855864637095
id_21_5	0.301233105830134
id_31_5	0.994380286390079
id_41_5	0.706698213938298
id_51_5	2.21077561071457
id_61_5	1.80531050260641
id_71_5	1.11216332204646
id_3_5	-4.2631150856377
id_4_5	-3.68775094073414
id_22_5	-2.99460376017419
id_32_5	-3.68775094073414
id_42_5	-4.90414626505863
id_52_5	-6.98358780673846
id_62_5	-4.0932160488423
id_72_5	-3.11238679583058
id_5_5	-4.14533204998132
id_6_5	-9.52061045766548
id_23_5	-3.90976597866855
id_33_5	-5.93709151920937
id_43_5	-3.85764997752954
id_53_5	-4.83847923054126
id_63_5	-7.72885098843742
id_73_5	-2.87682072451781
id_7_5	-3.73986694187315
id_8_5	0.654582212799283
id_24_5	-3.16450279696959
id_34_5	-1.49052636339792
id_44_5	-3.73986694187315
id_54_5	-2.06589050830148
id_64_5	-6.98358780673846
id_74_5	-1.49052636339792
id_9_5	-0.509697110386194
id_10_5	-0.10423200227803
id_25_5	0.0135510333783533
id_35_5	1.80531050260641
id_45_5	2.38067464750997
id_55_5	2.78613975561813
id_65_5	4.98336433295435
id_75_5	3.59706997183446
id_11_5	-0.274131039073428
id_12_5	1.39984539449824
id_26_5	-0.274131039073428
id_36_5	5.62439551237528
id_46_5	1.28206235884186
id_56_5	2.66835671996175
id_66_5	-0.915162218494358
id_76_5	5.10114736861073
id_13_5	-1.49052636339792
id_14_5	-1.32062732660252
id_27_5	-3.51785190393874
id_37_5	-1.08506125528976
id_47_5	-3.28228583262597
id_57_5	1.85742650374542
id_67_5	0.471132142625532
id_77_5	-2.01377450716247
id_15_5	-0.509697110386194
id_16_5	2.09299257505819
id_28_5	4.12031811559901
id_38_5	0.131334069034736
id_48_5	-1.6083093990543
id_58_5	-1.66042540019332
id_68_5	-2.06589050830148
id_78_5	0.824481249594681
id_17_5	-0.797379182837975
id_18_5	-0.222015037934413
id_29_5	-2.30145657961425
id_39_5	2.1451085761972
id_49_5	-4.78636322940225
id_59_5	-0.509697110386194
id_69_5	-5.47951040996219
id_79_5	-4.90414626505863
id_19_5	2.78613975561813
id_20_5	-1.49052636339792
id_30_5	2.38067464750997
id_40_5	0.588915178281915
id_50_5	-0.10423200227803
id_60_5	-1.66042540019332
